"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-13","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",56583962,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-14","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",57313642,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-15","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",57668646,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-16","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",57935280,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-17","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",58714631,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-18","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",59603625,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-19","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",60363334,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-20","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",61297420,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-21","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",62122684,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-22","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",62459684,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-23","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",63278821,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-24","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",64098809,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-25","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",64918585,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-26","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",65668438,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-27","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",66363506,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-28","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",67359292,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-29","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",67761958,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-30","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",67874735,"Total COVID-19 Vaccines Administered"
"country/BRA","BR","Brazil","CumulativeCount_Vaccine_COVID_19_Administered","2021-05-31","OWID_COVID19","https://ourworldindata.org/coronavirus","","","",68665647,"Total COVID-19 Vaccines Administered"
